movie_id,imdb_id,tmdb_id,rating,average_rating,title
318,0111161,278,4.0,4.4155,The Shawshank Redemption (1994)
356,0109830,13,2.5,4.06936,Forrest Gump (1994)
527,0108052,424,3.5,4.2382,Schindler's List (1993)
593,0102926,274,4.0,4.14945,The Silence of the Lambs (1991)
1196,0080684,1891,4.0,4.11597,The Empire Strikes Back (1980)
1197,0093779,2493,3.5,4.10845,The Princess Bride (1987)
1704,0119217,489,4.0,4.11101,Good Will Hunting (1997)
2571,0133093,603,4.0,4.16137,The Matrix (1999)
79091,1323594,20352,4.0,3.64956,Despicable Me (2010)
85414,0945513,45612,2.0,3.75423,Source Code (2011)
86332,0800369,10195,4.0,3.3019,Thor (2011)
88129,0780504,64690,2.0,3.85358,Drive (2011)
88140,0458339,1771,3.5,3.46702,Captain America: The First Avenger (2011)
96610,1276104,59967,4.0,3.64881,Looper (2012)
97921,1045658,82693,1.5,3.69805,Silver Linings Playbook (2012)
106487,1951264,101299,1.5,3.50472,The Hunger Games: Catching Fire (2013)
273105,11803064,950925,3.0,1.0,Hunting Souls (2024)
298947,12037194,786892,4.0,3.63445,Furiosa: A Mad Max Saga (2024)
300201,22022452,1022789,5.0,3.62535,Inside Out 2 (2024)
304061,8999762,549509,2.5,3.28571,The Brutalist (2024)
307297,32481874,1377267,1.0,3.16667,A Carpenter Christmas Romance (2024)
307299,29137778,1217690,4.0,3.0,Homestead (2024)
307347,18259086,939243,3.5,3.0625,Sonic the Hedgehog 3 (2024)
307369,27611340,1399790,2.5,0.0,Bachhala Malli (2024)
307445,23875550,984500,3.5,0.0,UI (2024)
